City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Prado,-17.34,-39.22,76.77,82,72,7.63,light rain
250,Port Lincoln,-34.73,135.87,56.93,71,51,11.81,broken clouds
251,Faya,18.39,42.45,59.0,77,0,5.08,clear sky
252,Bubaque,11.28,-15.83,83.21,57,25,12.03,scattered clouds
253,Dalby,-27.18,151.27,70.0,70,0,5.99,clear sky
254,Sur,22.57,59.53,72.82,61,0,7.99,clear sky
255,Keflavik,64.0,-22.56,35.6,93,75,12.75,shower sleet
256,Longyearbyen,78.22,15.64,24.8,73,75,28.86,light snow
257,Pachino,36.72,15.09,66.0,83,82,4.0,light rain
258,Kodinsk,58.69,99.18,6.35,92,99,2.37,overcast clouds
259,Tevaitoa,-16.78,-151.5,81.52,73,50,6.08,scattered clouds
260,Menongue,-14.66,17.69,65.77,84,6,2.71,clear sky
261,Lubumbashi,-11.66,27.48,64.92,89,0,1.88,clear sky
262,Anadyr,64.75,177.48,1.4,91,0,8.95,clear sky
263,Georgetown,5.41,100.34,77.0,94,20,3.36,few clouds
264,Petropavl,54.88,69.16,5.92,95,100,7.14,overcast clouds
265,Kavieng,-2.57,150.8,82.76,80,85,11.59,overcast clouds
266,Baghdad,33.34,44.4,60.8,93,90,5.82,overcast clouds
267,Sakaiminato,35.55,133.23,46.4,93,75,5.82,broken clouds
268,Ostrovnoy,68.05,39.51,30.25,95,34,28.03,scattered clouds
269,Northam,51.03,-4.22,50.0,96,100,5.01,overcast clouds
270,Nouadhibou,20.93,-17.03,68.0,72,100,9.17,overcast clouds
271,Kamenka,51.32,42.77,33.01,93,100,12.03,overcast clouds
272,Nanortalik,60.14,-45.24,34.09,89,100,12.41,light snow
273,Sao Jose Da Coroa Grande,-8.9,-35.15,78.91,72,92,10.11,overcast clouds
274,Muroto,33.28,134.15,54.73,62,40,5.82,scattered clouds
275,Khatra,22.98,86.85,65.41,46,0,6.38,clear sky
276,Nelson Bay,-32.72,152.15,86.0,30,40,14.99,moderate rain
277,Leshukonskoye,64.9,45.76,15.96,96,14,6.08,few clouds
278,Khani,41.96,42.96,51.8,65,0,25.28,clear sky
279,Zeya,53.75,127.27,5.61,87,96,4.72,overcast clouds
280,Rocha,-34.48,-54.33,79.12,70,70,11.86,moderate rain
281,Havoysund,71.0,24.66,39.2,80,100,13.87,light rain
282,Tocopilla,-22.09,-70.2,71.83,38,20,5.19,few clouds
283,Nemuro,43.32,145.57,34.18,84,22,11.88,few clouds
284,Marrakesh,31.63,-8.01,53.6,71,40,2.24,scattered clouds
285,Taseyevo,57.22,94.9,2.41,91,0,1.07,clear sky
286,Yakeshi,49.28,120.73,-11.99,89,76,2.28,broken clouds
287,Pandan,14.05,124.17,79.45,85,72,14.88,light rain
288,Salou,41.08,1.14,57.0,76,40,8.05,scattered clouds
289,Verin,41.94,-7.44,52.0,82,77,8.01,broken clouds
290,Alenquer,-1.94,-54.74,87.8,62,20,9.17,few clouds
291,Kaeo,-35.1,173.78,55.0,91,100,1.99,overcast clouds
292,Oudtshoorn,-33.59,22.2,59.0,93,69,3.36,broken clouds
293,San Rafael Del Sur,11.85,-86.44,89.6,52,40,11.41,scattered clouds
294,Khandyga,62.67,135.6,-26.73,84,0,1.01,clear sky
295,Albury,-36.08,146.92,73.4,60,40,25.28,scattered clouds
296,Miyazu,35.53,135.18,42.57,91,99,3.24,light rain
297,Verkhnevilyuysk,63.45,120.32,-6.16,91,89,6.4,overcast clouds
298,Disna,55.57,28.2,32.4,97,80,9.69,broken clouds
299,Rupert,42.62,-113.68,39.2,55,1,3.36,clear sky
300,Half Moon Bay,37.46,-122.43,60.01,43,5,4.7,clear sky
301,Usinsk,65.99,57.53,9.36,95,89,12.64,overcast clouds
302,Cap Malheureux,-19.98,57.61,72.0,81,7,5.99,clear sky
303,Blyth,55.13,-1.51,42.01,93,67,1.12,light rain
304,Woodward,36.43,-99.39,52.0,37,40,5.82,scattered clouds
305,Tulum,20.22,-87.47,82.4,65,75,10.29,broken clouds
306,Hami,42.8,93.45,24.64,78,66,6.4,broken clouds
307,College,64.86,-147.8,-4.0,83,40,3.2,scattered clouds
308,Tautira,-17.73,-149.15,86.0,74,75,10.29,broken clouds
309,Misratah,32.38,15.09,68.07,45,0,11.72,clear sky
310,Ilulissat,69.22,-51.1,10.4,51,20,9.17,few clouds
311,Necochea,-38.55,-58.74,73.99,74,100,11.39,light rain
312,Tooele,40.53,-112.3,39.2,51,1,2.86,clear sky
313,Saint George,37.1,-113.58,52.0,26,1,0.63,clear sky
314,Nhulunbuy,-12.23,136.77,77.0,78,44,2.59,scattered clouds
315,Geraldton,-28.77,114.6,53.6,81,45,8.05,scattered clouds
316,Ouahigouya,13.58,-2.42,82.09,18,0,8.1,clear sky
317,Vilyuysk,63.76,121.62,-7.08,91,88,5.75,overcast clouds
318,Ponta Do Sol,32.67,-17.1,60.8,59,40,5.82,scattered clouds
319,Waipawa,-41.41,175.52,57.2,93,100,21.92,moderate rain
320,Naze,28.37,129.48,64.4,59,75,11.41,broken clouds
321,West Wendover,40.74,-114.07,33.8,50,1,6.93,clear sky
322,Englewood,39.65,-104.99,55.99,18,1,3.04,clear sky
323,Narsaq,60.92,-46.05,33.8,80,75,11.41,light snow
324,Bagdarin,54.43,113.6,-1.73,86,3,4.21,clear sky
325,Indian Head,38.6,-77.16,61.0,51,1,10.29,clear sky
326,Biak,-0.91,122.88,77.88,74,56,1.68,broken clouds
327,Plouzane,48.38,-4.62,53.6,87,0,11.41,clear sky
328,Marsa Matruh,31.35,27.25,60.8,72,20,2.51,few clouds
